iter	Passed	Remaining
0	1	116
1	2	110
2	3	101
3	3	91
4	4	92
5	5	92
6	6	90
7	7	90
8	8	89
9	9	87
10	10	86
11	11	85
12	12	83
13	13	83
14	14	84
15	15	82
16	16	82
17	17	81
18	18	80
19	19	78
20	20	77
21	21	76
22	22	75
23	23	75
24	24	73
25	25	73
26	26	72
27	28	72
28	29	71
29	30	71
30	31	70
31	32	69
32	33	68
33	34	66
34	35	66
35	36	64
36	37	63
37	38	62
38	39	61
39	40	60
40	41	59
41	41	57
42	42	56
43	43	55
44	45	55
45	46	54
46	47	53
47	48	52
48	49	51
49	50	50
50	51	49
51	52	48
52	53	47
53	55	46
54	55	45
55	56	44
56	58	43
57	59	42
58	60	41
59	61	40
60	62	39
61	62	38
62	63	37
63	64	36
64	65	35
65	66	34
66	68	33
67	69	32
68	70	31
69	71	30
70	72	29
71	73	28
72	74	27
73	75	26
74	76	25
75	77	24
76	78	23
77	79	22
78	80	21
79	81	20
80	82	19
81	83	18
82	84	17
83	85	16
84	86	15
85	87	14
86	88	13
87	89	12
88	89	11
89	90	10
90	91	9
91	92	8
92	93	7
93	94	6
94	95	5
95	96	4
96	97	3
97	98	2
98	99	1
99	100	0
