iter	Passed	Remaining
0	109	109871
1	111	55682
2	112	37460
3	113	28385
4	115	23040
5	117	19470
6	119	16921
7	120	14980
8	121	13412
9	123	12185
10	124	11184
11	126	10394
12	127	9701
13	129	9090
14	130	8585
15	132	8146
16	133	7730
17	134	7361
18	136	7071
19	137	6757
20	138	6462
21	139	6195
22	140	5950
23	141	5741
24	141	5536
25	143	5377
26	145	5250
27	147	5103
28	147	4950
29	148	4813
30	150	4706
31	151	4588
32	152	4465
33	153	4355
34	154	4250
35	155	4166
36	157	4093
37	158	4022
38	160	3949
39	161	3864
40	162	3789
41	163	3721
42	164	3660
43	166	3609
44	167	3559
45	169	3513
46	171	3467
47	171	3409
48	173	3361
49	174	3307
50	174	3255
51	176	3212
52	177	3165
53	178	3121
54	179	3085
55	180	3048
56	182	3016
57	184	2989
58	186	2969
59	187	2944
60	189	2909
61	189	2873
62	190	2838
63	192	2808
64	192	2774
65	194	2746
66	195	2717
67	196	2696
68	198	2675
69	199	2653
70	201	2630
71	202	2611
72	203	2589
73	204	2561
74	205	2538
75	206	2513
76	207	2491
77	209	2471
78	210	2455
79	212	2440
80	213	2426
81	215	2411
82	216	2387
83	217	2371
84	218	2354
85	219	2335
86	221	2322
87	222	2303
88	223	2288
89	224	2274
90	226	2260
91	227	2249
92	229	2237
93	231	2227
94	232	2216
95	233	2199
96	234	2182
97	235	2168
98	236	2153
99	237	2140
100	239	2131
101	240	2120
102	242	2111
103	244	2103
104	245	2095
105	247	2086
106	248	2073
107	249	2062
108	251	2056
109	252	2043
110	253	2028
111	254	2021
112	256	2013
113	258	2006
114	259	1999
115	261	1993
116	262	1983
117	264	1975
118	265	1968
119	266	1955
120	268	1949
121	269	1941
122	271	1934
123	272	1926
124	274	1919
125	275	1912
126	277	1904
127	278	1895
128	279	1886
129	280	1878
130	281	1868
131	282	1860
132	284	1854
133	286	1849
134	287	1842
135	289	1837
136	291	1836
137	292	1830
138	293	1821
139	295	1812
140	296	1805
141	297	1796
142	299	1792
143	301	1790
144	302	1786
145	304	1780
146	305	1774
147	307	1768
148	308	1759
149	308	1749
150	309	1742
151	310	1734
152	312	1728
153	313	1723
154	315	1719
155	316	1714
156	318	1710
157	319	1705
158	321	1700
159	322	1693
160	323	1685
161	324	1679
162	325	1672
163	327	1669
164	329	1665
165	330	1661
166	332	1656
167	333	1652
168	335	1648
169	337	1645
170	338	1640
171	339	1634
172	340	1626
173	342	1624
174	344	1623
175	345	1619
176	347	1617
177	350	1616
178	351	1612
179	353	1608
180	354	1605
181	356	1601
182	358	1598
183	359	1594
184	361	1591
185	363	1590
186	366	1593
187	368	1591
188	371	1592
189	373	1590
190	375	1588
191	377	1587
192	378	1584
193	381	1586
194	384	1586
195	386	1585
196	389	1586
197	391	1585
198	394	1589
199	397	1588
200	398	1586
201	401	1586
202	403	1583
203	405	1582
204	407	1581
205	410	1580
206	411	1577
207	413	1576
208	415	1572
209	417	1570
210	419	1569
211	421	1566
212	423	1564
213	425	1562
214	426	1558
215	428	1556
216	430	1552
217	431	1548
218	433	1546
219	435	1542
220	436	1540
221	439	1539
222	440	1535
223	442	1532
224	443	1529
225	445	1525
226	446	1521
227	448	1517
228	450	1515
229	451	1511
230	453	1508
231	454	1505
232	456	1502
233	457	1498
234	459	1495
235	461	1493
236	462	1489
237	464	1486
238	465	1482
239	467	1479
240	468	1476
241	470	1473
242	471	1470
243	473	1466
244	475	1465
245	477	1462
246	479	1460
247	480	1457
248	482	1454
249	483	1451
250	485	1448
251	486	1444
252	488	1441
253	490	1439
254	491	1436
255	493	1434
256	494	1431
257	496	1427
258	498	1425
259	499	1422
260	501	1419
261	502	1414
262	503	1412
263	505	1408
264	506	1405
265	508	1402
266	509	1399
267	511	1397
268	512	1392
269	513	1389
270	515	1386
271	517	1384
272	519	1383
273	521	1380
274	522	1377
275	523	1374
276	525	1371
277	527	1369
278	528	1366
279	530	1363
280	531	1359
281	532	1357
282	534	1353
283	535	1350
284	536	1347
285	538	1344
286	540	1341
287	541	1339
288	543	1337
289	544	1334
290	546	1332
291	548	1329
292	549	1325
293	550	1322
294	552	1320
295	554	1318
296	556	1317
297	558	1315
298	559	1312
299	561	1310
300	563	1307
301	564	1304
302	565	1300
303	566	1297
304	568	1294
305	570	1294
306	572	1291
307	574	1289
308	575	1286
309	576	1283
310	577	1279
311	578	1276
312	580	1273
313	581	1271
314	583	1268
315	585	1266
316	586	1263
317	588	1261
318	589	1258
319	590	1255
320	592	1253
321	593	1250
322	595	1248
323	597	1246
324	599	1244
325	600	1242
326	602	1240
327	604	1237
328	606	1236
329	607	1233
330	608	1230
331	610	1227
332	611	1225
333	613	1223
334	614	1220
335	616	1218
336	618	1216
337	619	1212
338	621	1211
339	622	1209
340	624	1206
341	625	1204
342	627	1201
343	629	1199
344	630	1197
345	632	1195
346	633	1193
347	636	1191
348	637	1190
349	639	1187
350	641	1185
351	642	1183
352	643	1180
353	645	1178
354	647	1175
355	648	1173
356	649	1170
357	651	1168
358	652	1165
359	654	1163
360	655	1161
361	657	1159
362	659	1157
363	661	1155
364	662	1153
365	664	1151
366	666	1148
367	667	1146
368	669	1144
369	670	1142
370	672	1140
371	674	1138
372	675	1136
373	677	1134
374	679	1131
375	680	1129
376	681	1126
377	683	1124
378	684	1122
379	686	1119
380	688	1118
381	690	1116
382	691	1114
383	693	1112
384	694	1110
385	696	1107
386	697	1104
387	698	1102
388	700	1100
389	702	1098
390	703	1095
391	705	1093
392	706	1091
393	708	1089
394	709	1087
395	711	1085
396	713	1083
397	715	1081
398	716	1079
399	718	1077
400	720	1075
401	721	1073
402	723	1071
403	725	1070
404	727	1068
405	728	1065
406	730	1064
407	732	1062
408	734	1061
409	736	1059
410	738	1057
411	739	1056
412	741	1053
413	743	1052
414	744	1050
415	747	1048
416	748	1046
417	750	1044
418	752	1042
419	753	1040
420	755	1038
421	756	1036
422	758	1034
423	760	1033
424	762	1031
425	763	1029
426	765	1027
427	767	1025
428	768	1022
429	770	1020
430	771	1018
431	773	1016
432	775	1014
433	776	1013
434	778	1011
435	780	1009
436	782	1007
437	783	1004
438	784	1002
439	786	1000
440	788	998
441	789	996
442	791	995
443	793	993
444	794	990
445	796	988
446	797	986
447	798	984
448	800	982
